...
| rollout/                |              |
|    total_timesteps      | 2878560      |
| train/                  |              |
|    approx_kl            | 0.0041911486 |
|    clip_fraction        | 0.00403      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.27        |
|    explained_variance   | 0.176        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.261       |
|    n_updates            | 19980        |
|    policy_gradient_loss | -0.00193     |
|    std                  | 47           |
|    value_loss           | 3.6e-06      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1999         |
|    time_elapsed         | 51316        |
|    total_timesteps      | 2878560      |
| train/                  |              |
|    approx_kl            | 0.0041911486 |
|    clip_fraction        | 0.00403      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.27        |
|    explained_variance   | 0.176        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.261       |
|    n_updates            | 19980        |
|    policy_gradient_loss | -0.00193     |
|    std                  | 47           |
|    value_loss           | 3.6e-06      |
------------------------------------------
Eval num_timesteps=2880000, episode_reward=-0.29 +/- 0.00
Episode length: 409512.00 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 4.1e+05     |
|    mean_reward          | -0.286      |
| time/                   |             |
|    total_timesteps      | 2880000     |
| train/                  |             |
|    approx_kl            | 0.004801485 |
|    clip_fraction        | 0.0131      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.27       |
|    explained_variance   | 0.112       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.272      |
|    n_updates            | 19990       |
|    policy_gradient_loss | -0.0034     |
|    std                  | 47.1        |
|    value_loss           | 1.87e-06    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2000     |
|    time_elapsed    | 51494    |
|    total_timesteps | 2880000  |
---------------------------------
Eval num_timesteps=2880000, episode_reward=-0.29 +/- 0.00
Episode length: 409512.00 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 4.1e+05     |
|    mean_reward          | -0.286      |
| time/                   |             |
|    total_timesteps      | 2880000     |
| train/                  |             |
|    approx_kl            | 0.004801485 |
|    clip_fraction        | 0.0131      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.27       |
|    explained_variance   | 0.112       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.272      |
|    n_updates            | 19990       |
|    policy_gradient_loss | -0.0034     |
|    std                  | 47.1        |
|    value_loss           | 1.87e-06    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2000     |
|    time_elapsed    | 51494    |
|    total_timesteps | 2880000  |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2001         |
|    time_elapsed         | 51494        |
|    total_timesteps      | 2881440      |
| train/                  |              |
|    approx_kl            | 0.0045273807 |
|    clip_fraction        | 0.0135       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.27        |
|    explained_variance   | -0.00547     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.273       |
|    n_updates            | 20000        |
